Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,km,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs
Comprehensive,Petrol,1496 cc,2015.0,Petrol,SUV,64000.0,Automatic,1,Ford,Ford Ecosport,16.0,Silver,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,6 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,352.0,14.7,DOHC,No,5.3,Delhi,6.25
Comprehensive,Petrol,1798 cc,2014.0,Petrol,Sedan,49000.0,Automatic,1,Skoda,Skoda Octavia,16.0,Silver,4.0,Direct Injection,Yes,4670.0,1814.0,1476.0,2688.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,590.0,15.1,DOHC,No,5.2,Delhi,10.5
Third Party insurance,Petrol,1197 cc,2022.0,Petrol,Hatchback,30000.0,Manual,1,Toyota,Toyota Glanza,16.0,Others,4.0,Unknown,Unknown,3990.0,1745.0,1500.0,2520.0,5-Speed,FWD,5.0,Power,"tubeless,radial",5.0,318.0,22.35,Unknown,Unknown,4.85,Delhi,7.4
Third Party insurance,Petrol,1395 cc,2017.0,Petrol,Sedan,37000.0,Manual,0,Skoda,Skoda Octavia,16.0,White,4.0,Direct Injection,Yes,4670.0,1814.0,1476.0,2688.0,6 Speed,FWD,5.0,Power,"tubeless,radial",4.0,590.0,16.7,DOHC,No,5.2,Delhi,10.49
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Hatchback,30000.0,Manual,2,Hyundai,Hyundai i20,16.0,White,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,285.0,18.6,DOHC,No,5.2,Delhi,5.7
Third Party insurance,Petrol,1198 cc,2012.0,Petrol,Hatchback,90000.0,Manual,1,Honda,Honda Brio,15.0,Others,4.0,PGM - Fi,No,3610.0,1680.0,1500.0,2345.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,175.0,19.4,SOHC,No,4.5,Delhi,2.75
Third Party insurance,Petrol,796 cc,2014.0,Petrol,Hatchback,40000.0,Manual,2,Maruti,Maruti 800,12.0,Others,3.0,MPFI,No,3335.0,1440.0,1405.0,2175.0,4 Speed,FWD,4.0,Manual,radial,4.0,168.37350677254165,16.1,SOHC,No,4.4,Delhi,2.5
Zero Dep,Petrol,1368 cc,2019.0,Petrol,SUV,64336.0,Automatic,1,Jeep,Jeep Compass,17.0,White,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,7 Speed,2WD,5.0,Power,"radial,tubless",5.0,408.0,16.0,DOHC,No,9.17921373457304,Delhi,13.65
Comprehensive,Petrol,1199 cc,2016.0,Petrol,Hatchback,83425.0,Manual,1,Volkswagen,Volkswagen Polo,15.0,Grey,3.0,MPFI,No,3971.0,1682.0,1469.0,2469.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,280.0,16.2,DOHC,No,4.97,Delhi,4.29
Comprehensive,Diesel,2179 cc,2014.0,Diesel,SUV,85000.0,Automatic,3,Land Rover,Land Rover Range Rover Evoque,18.0,White,4.0,Unknown,Yes,4355.0,2120.0,1635.0,2660.0,9 Speed,4WD,5.0,Power,"tubeless,radial",5.0,575.0,12.7,DOHC,No,5.65,Delhi,21.9
Comprehensive,Diesel,1248 cc,2016.0,Diesel,Sedan,66181.0,Manual,1,Maruti,Maruti Swift Dzire,16.0,Silver,4.0,CRDI,Yes,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,320.0,26.59,DOHC,No,4.8,Delhi,5.44
Comprehensive,Petrol,796 cc,2019.0,Petrol,Hatchback,25486.0,Manual,2,Maruti,Maruti Alto 800,14.0,Silver,3.0,MPFi,No,3445.0,1490.0,1475.0,2360.0,5 Speed,FWD,5.0,Manual,tubeless,5.0,177.0,24.7,DOHC,No,4.6,Delhi,3.36
Third Party insurance,Petrol,1991 cc,2017.0,Petrol,Sedan,35000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,17.0,White,4.0,Direct Injection,Yes,4686.0,2020.0,1442.0,2840.0,7 Speed,RWD,5.0,Power,"tubeless,radial",4.0,480.0,14.74,DOHC,No,5.61,Delhi,30.5
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,25489.0,Manual,1,Maruti,Maruti Swift,16.0,Others,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Delhi,4.49
Comprehensive,Diesel,1996 cc,2021.0,Diesel,SUV,40000.0,Automatic,2,Ford,Ford Endeavour,18.0,White,4.0,Unknown,Unknown,4903.0,1869.0,1837.0,2850.0,10 speed,RWD,7.0,Power,tubeless,5.0,476.83489358340057,13.9,16-valve DOHC layout,Unknown,17.488351566041402,Delhi,38.0
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Hatchback,85363.0,Manual,1,Maruti,Maruti Baleno,16.0,Blue,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Delhi,5.03
Third Party insurance,Petrol,1586 cc,2009.0,Petrol,Sedan,110000.0,Manual,3,Maruti,Maruti SX4,16.0,Silver,4.0,MPFI,No,4490.0,1735.0,1570.0,2500.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,505.0,15.0,DOHC,No,5.3,Delhi,1.25
Third Party insurance,Diesel,1498 cc,2014.0,Diesel,SUV,40000.0,Manual,1,Ford,Ford Ecosport,16.0,Silver,4.0,Direct Injection,Yes,3999.0,1765.0,1708.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,346.0,22.7,SOHC,No,5.3,Delhi,3.5
Third Party insurance,Petrol,2995 cc,2018.0,Petrol,SUV,40000.0,Automatic,1,Land Rover,Land Rover Range Rover Sport,19.0,Gray,6.0,MPFi,Yes,4879.0,2220.0,1803.0,2923.0,8 Speed,4WD,5.0,Power,"tubeless,radial",5.0,784.0,12.65,DOHC,No,6.05,Delhi,96.0
Zero Dep,Petrol,1462 cc,2023.0,Petrol,SUV,1500.0,Automatic,1,Maruti,Maruti Jimny,15.0,White,4.0,Multipoint injection,Unknown,3985.0,1645.0,1720.0,2590.0,4-speed,AWD,4.0,Electric,"tubeless,radial",5.0,211.0,16.39,Unknown,Unknown,5.7,Delhi,17.55
Third Party insurance,Petrol,1586 cc,2009.0,Petrol,Sedan,110000.0,Manual,3,Maruti,Maruti SX4,16.0,Silver,4.0,MPFI,No,4490.0,1735.0,1570.0,2500.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,505.0,15.0,DOHC,No,5.3,Delhi,1.25
Third Party insurance,Petrol,1196 cc,2011.0,Petrol,Hatchback,80000.0,Manual,2,Ford,Ford Figo,14.0,Silver,4.0,SEFI,No,3795.0,1680.0,1427.0,2489.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,284.0,15.6,DOHC,No,4.9,Delhi,1.0
Third Party insurance,CNG,1197 cc,2022.0,Cng,Sedan,20000.0,Manual,1,Maruti,Maruti Swift Dzire,16.0,Others,4.0,Unknown,Unknown,3995.0,1735.0,1515.0,2450.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,336.2545231493742,31.12,DOHC,Unknown,4.8,Delhi,8.5
Third Party insurance,Petrol,1462 cc,2023.0,Petrol,SUV,20000.0,Manual,1,Maruti,Maruti Brezza,16.0,White,4.0,Unknown,Unknown,3995.0,1790.0,1685.0,2500.0,5-Speed,Unknown,5.0,Electric,"tubeless,radial",5.0,328.0,17.38,Unknown,Unknown,5.4601278078135564,Delhi,12.0
Comprehensive,Petrol,1197 cc,2012.0,Petrol,Hatchback,62000.0,Manual,2,Hyundai,Hyundai i20,14.0,White,4.0,MPFI,No,3940.0,1710.0,1505.0,2525.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,295.0,17.0,DOHC,No,5.2,Delhi,2.75
Third Party insurance,Petrol,1796 cc,2010.0,Petrol,Sedan,50000.0,Automatic,4,Mercedes-Benz,Mercedes-Benz C-Class,16.0,Others,4.0,Unknown,Unknown,4596.0,1770.0,1447.0,2760.0,6 Speed,RWD,5.0,Power,"tubeless,radial",4.0,475.0,11.7,DOHC,Unknown,5.42,Delhi,4.25
Third Party insurance,Diesel,1248 cc,2014.0,Diesel,Sedan,90000.0,Manual,2,Maruti,Maruti Swift Dzire,14.0,Others,4.0,CRDI,Yes,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,316.0,23.4,DOHC,No,4.8,Delhi,3.5
Comprehensive,Petrol,1197 cc,2011.0,Petrol,Hatchback,67985.0,Manual,1,Hyundai,Hyundai i10,13.0,Red,4.0,MPFI,No,3585.0,1595.0,1550.0,2380.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,246.66941091031197,20.36,DOHC,No,2.095131664346063,Delhi,2.21
Comprehensive,Diesel,1498 cc,2020.0,Diesel,SUV,89722.0,Manual,1,Honda,Honda WR-V,16.0,Grey,4.0,CRDi,Yes,3999.0,1734.0,1601.0,2555.0,6 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,363.0,25.5,DOHC,No,5.3,Delhi,8.28
Third Party insurance,Diesel,1498 cc,2017.0,Diesel,SUV,80000.0,Manual,1,Ford,Ford Ecosport,16.0,Others,4.0,Direct Injection,Yes,3998.0,1765.0,1647.0,2519.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,352.0,23.0,SOHC,No,5.3,Delhi,6.0
Comprehensive,Petrol,2694 cc,2020.0,Petrol,MUV,49647.0,Automatic,2,Toyota,Toyota Innova Crysta,16.0,Silver,4.0,MPFI,Unknown,4735.0,1830.0,1795.0,2750.0,6 Speed,RWD,7.0,Power,"tubeless,radial",5.0,300.0,8.0,DOHC,Unknown,5.4,Delhi,15.56
Zero Dep,Petrol,999 cc,2020.0,Petrol,MUV,110490.0,Manual,1,Renault,Renault Triber,16.0,Blue,3.0,MPFi,Unknown,3991.0,1739.0,1643.0,2548.67252318204,5 Speed,FWD,7.0,Electric,"tubeless,radial",5.0,84.0,20.0,DOHC,Unknown,5.754793472428233,Delhi,5.17
Comprehensive,Petrol,1197 cc,2012.0,Petrol,Sedan,78000.0,Manual,2,Maruti,Maruti Swift Dzire,14.0,White,4.0,MPFI,No,4160.0,1690.0,1530.0,2390.0,5 Speed,2WD,5.0,Power,"tubeless,radial",4.0,440.0,17.5,SOHC,No,4.7,Delhi,3.25
Third Party insurance,Petrol,998 cc,2017.0,Petrol,Hatchback,51165.0,Manual,1,Maruti,Maruti Wagon R,14.0,Grey,3.0,Unknown,No,3599.0,1495.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,180.0,20.51,DOHC,No,4.6,Delhi,3.71
Third Party insurance,Petrol,998 cc,2022.0,Petrol,Hatchback,14000.0,Manual,1,Maruti,Maruti S-Presso,14.0,White,3.0,Unknown,Unknown,3565.0,1520.0,1567.0,2380.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,223.8481396206207,21.7,Unknown,Unknown,4.5,Delhi,4.75
Comprehensive,Petrol,1197 cc,2015.0,Petrol,Hatchback,50576.0,Manual,1,Hyundai,Hyundai Grand i10,15.0,Silver,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Delhi,4.06
Third Party insurance,Petrol,1462 cc,2021.0,Petrol,MUV,55000.0,Manual,1,Maruti,Maruti XL6,15.0,White,4.0,Unknown,Unknown,4445.0,1775.0,1700.0,2740.0,5-Speed,FWD,6.0,Power,"tubeless,radial",5.0,209.0,19.01,Unknown,Unknown,5.2,Delhi,10.9
Third Party insurance,Petrol,998 cc,2019.0,Petrol,SUV,70000.0,Automatic,1,Hyundai,Hyundai Venue,16.0,Blue,3.0,GDi,Yes,3995.0,1770.0,1605.0,2500.0,7-Speed DCT,FWD,5.0,Electric,radial,5.0,350.0,18.15,Unknown,Unknown,4.6241043595744244,Delhi,8.9
Third Party insurance,Petrol,1061 cc,2009.0,Petrol,Hatchback,80000.0,Manual,2,Maruti,Maruti Wagon R,13.0,Others,3.0,MPFI,No,3595.0,1475.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,227.2505102465558,18.9,DOHC,No,4.6,Delhi,1.0
Comprehensive,Petrol,1991 cc,2014.0,Petrol,Sedan,65000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,17.0,Brown,4.0,Direct Injection,Yes,4879.0,2071.0,1474.0,2874.0,7 Speed,RWD,5.0,Power,"tubeless,radial",4.0,540.0,12.0,DOHC,No,5.3,Delhi,18.9
Third Party insurance,Diesel,2523 cc,2015.0,Diesel,SUV,90000.0,Manual,3,Mahindra,Mahindra Bolero,16.0,White,4.0,CRDi,Yes,4107.0,1745.0,1880.0,2680.0,5 Speed,RWD,7.0,Power,"tubeless,radial",5.0,690.0,15.96,SOHC,No,5.8,Delhi,4.85
Comprehensive,Diesel,1997 cc,2016.0,Diesel,SUV,71000.0,Manual,1,Mahindra,Mahindra Scorpio,17.0,White,4.0,CRDi,Yes,4456.0,1820.0,1995.0,2680.0,5 Speed,RWD,7.0,Power,"tubeless,radial",5.0,460.0,15.4,DOHC,No,5.4,Delhi,8.4
Third Party insurance,Petrol,1497 cc,2019.0,Petrol,Sedan,60000.0,Automatic,1,Honda,Honda City,15.0,Others,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,CVT,FWD,5.0,Power,"tubeless,radial",4.0,510.0,18.0,SOHC,No,5.3,Delhi,9.0
Third Party insurance,Petrol,1197 cc,2021.0,Petrol,SUV,20000.0,Manual,1,Kia,Kia Sonet,16.0,Others,4.0,MPI,No,3995.0,1790.0,1642.0,2500.0,5-Speed,FWD,5.0,Electric,"tubeless,radial",5.0,392.0,18.4,Unknown,Unknown,4.802915843028181,Delhi,9.5
Third Party insurance,Petrol,1591 cc,2011.0,Petrol,Sedan,60000.0,Manual,1,Hyundai,Hyundai Verna,16.0,Others,4.0,MPFI,No,4375.0,1700.0,1475.0,2570.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,465.0,17.01,DOHC,No,5.2,Delhi,4.18
Third Party insurance,Diesel,1582 cc,2019.0,Diesel,SUV,38000.0,Manual,1,Hyundai,Hyundai Creta,17.0,Silver,4.0,CRDi,Yes,4270.0,1780.0,1665.0,2590.0,6 Speed,FWD,5.0,Power,tubeless,5.0,400.0,20.5,DOHC,No,5.3,Delhi,11.95
Third Party insurance,Diesel,1996 cc,2023.0,Diesel,SUV,7000.0,Automatic,0,MG,MG Gloster,19.0,Grey,4.0,Unknown,Yes,4985.0,1926.0,1867.0,2950.0,8 Speed,4WD,6.0,Electric,"tubeless,radial",5.0,495.1937062919137,12.04,Unknown,Unknown,17.859175954657303,Delhi,46.4
Third Party insurance,Petrol,999 cc,2022.0,Petrol,Hatchback,20000.0,Automatic,1,Volkswagen,Volkswagen Polo,16.0,Others,3.0,TSI,Yes,3971.0,1682.0,1469.0,2470.0,6 Speed,FWD,5.0,Electronic,"tubeless,radial",5.0,280.0,16.47,DOHC,No,4.9,Hyderabad,10.44
Third Party insurance,Petrol,814 cc,2014.0,Petrol,Hatchback,85582.0,Manual,2,Hyundai,Hyundai EON,14.0,Red,3.0,MPFI,No,3495.0,1550.0,1500.0,2380.0,5 Speed,FWD,5.0,Power,tubeless,5.0,215.0,21.1,SOHC,No,4.6,Hyderabad,2.6
Third Party insurance,Petrol,1197 cc,2023.0,Petrol,SUV,10000.0,Manual,1,Hyundai,Hyundai Venue,16.0,Others,4.0,Unknown,No,3995.0,1770.0,1617.0,2500.0,5-Speed,FWD,5.0,Power,"tubeless,radial",5.0,333.8545721146013,19.256888627353813,Unknown,Unknown,4.807512349747093,Hyderabad,9.55
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Hatchback,50750.0,Manual,1,Maruti,Maruti Baleno,16.0,Red,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Hyderabad,6.71
Third Party insurance,Petrol,1997 cc,2022.0,Petrol,SUV,10000.0,Automatic,1,Mahindra,Mahindra Thar,18.0,Others,4.0,Unknown,Yes,3985.0,1855.0,1844.0,2450.0,6 Speed,4WD,4.0,Power,"radial,tubeless",3.0,314.28121465619085,19.256888627353813,DOHC,Unknown,6.509814073037873,Hyderabad,19.0
Third Party insurance,Petrol,998 cc,2021.0,Petrol,SUV,10000.0,Manual,1,Kia,Kia Sonet,16.0,White,3.0,GDi,Yes,3995.0,1790.0,1642.0,2500.0,6-Speed iMT,FWD,5.0,Electric,"tubeless,radial",5.0,392.0,18.2,Unknown,Unknown,4.802915843028181,Hyderabad,11.78
Zero Dep,Petrol,998 cc,2017.0,Petrol,Hatchback,66366.0,Automatic,1,Maruti,Maruti Celerio,15.0,White,3.0,MPFi,No,3695.0,1600.0,1560.0,2425.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Hyderabad,4.89
Third Party insurance,Petrol,998 cc,2022.0,Petrol,Sedan,5000.0,Automatic,1,Hyundai,Hyundai Verna,16.0,Black,3.0,GDi,Yes,4440.0,1729.0,1475.0,2600.0,7 Speed DCT,FWD,5.0,Electric,"tubeless,radial",4.0,424.12222749428315,19.2,DOHC with TIS,Unknown,8.934830342688649,Hyderabad,15.41
Third Party insurance,Petrol,998 cc,2017.0,Petrol,Hatchback,72544.0,Manual,1,Maruti,Maruti Celerio,14.0,White,3.0,MPFi,No,3715.0,1635.0,1565.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Hyderabad,4.65
Third Party insurance,Petrol,1194 cc,2021.0,Petrol,Hatchback,29154.0,Manual,1,Ford,Ford Figo,15.0,Maroon,3.0,Direct Injection,No,3941.0,1704.0,1525.0,2490.0,5 Speed,FWD,5.0,Electric,tubeless,5.0,321.06781860918,18.5,DOHC,No,4.9,Hyderabad,7.28
Third Party insurance,Petrol,1199 cc,2018.0,Petrol,Hatchback,70000.0,Automatic,1,Tata,Tata Tiago,14.0,Orange,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Hyderabad,5.3
Third Party insurance,Petrol,999 cc,2021.0,Petrol,Hatchback,33730.0,Manual,1,Datsun,Datsun RediGO,14.0,Blue,3.0,MPFi,No,3435.0,1574.0,1546.0,2348.0,5-Speed,FWD,5.0,Power,tubeless,5.0,222.0,21.7,DOHC,No,4.7,Hyderabad,4.66
Comprehensive,Petrol,999 cc,2020.0,Petrol,Hatchback,51113.0,Manual,1,Renault,Renault KWID,14.0,Blue,3.0,MPFi,No,3731.0,1579.0,1474.0,2422.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,279.0,23.01,DOHC,No,4.9,Hyderabad,4.57
Third Party insurance,Diesel,1199 cc,2013.0,Diesel,Hatchback,40000.0,Manual,2,Volkswagen,Volkswagen Polo,15.0,Others,3.0,CRDI,No,3970.0,1682.0,1453.0,2456.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,329.78948222681663,22.07,DOHC,No,4.97,Hyderabad,3.5
Third Party insurance,Petrol,1061 cc,2009.0,Petrol,Hatchback,40000.0,Manual,1,Maruti,Maruti Wagon R,13.0,Others,3.0,MPFI,No,3595.0,1475.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,227.2505102465558,18.9,DOHC,No,4.6,Hyderabad,2.9
Third Party insurance,Diesel,1995 cc,2020.0,Diesel,SUV,60000.0,Automatic,1,BMW,BMW X1,17.0,Others,4.0,CRDi,Yes,4439.0,1821.0,1612.0,2670.0,8 Speed,FWD,5.0,Power,runflat,5.0,505.0,20.68,DOHC,No,5.8,Hyderabad,38.0
Comprehensive,Petrol,998 cc,2014.0,Petrol,Hatchback,64500.0,Manual,1,Maruti,Maruti Wagon R,15.0,Brown,3.0,MPFI,No,3655.0,1620.0,1675.0,2435.0,5 Speed,FWD,5.0,Power,"tubeless tyres,radial",5.0,341.0,21.79,DOHC,No,4.7,Hyderabad,3.75
Third Party insurance,Petrol,998 cc,2020.0,Petrol,Hatchback,40000.0,Manual,1,Maruti,Maruti Wagon R,15.0,White,3.0,MPFI,No,3655.0,1620.0,1675.0,2435.0,5 Speed,FWD,5.0,Power,"tubeless tyres,radial",5.0,341.0,21.79,DOHC,No,4.7,Hyderabad,6.0
Third Party insurance,Diesel,1956 cc,2018.0,Diesel,SUV,80000.0,Manual,1,Jeep,Jeep Compass,17.0,Others,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,Power,"radial,tubless",5.0,408.0,17.1,DOHC,No,9.17921373457304,Hyderabad,14.0
Third Party insurance,Diesel,1956 cc,2019.0,Diesel,SUV,50000.0,Manual,1,Jeep,Jeep Compass,18.0,Others,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,6 Speed,4WD,5.0,power,"radial,tubless",5.0,408.0,16.3,DOHC,No,9.17921373457304,Hyderabad,19.0
Third Party insurance,Petrol,998 cc,2020.0,Petrol,Hatchback,40000.0,Manual,1,Hyundai,Hyundai i20,16.0,Others,3.0,Unknown,Yes,3995.0,1775.0,1505.0,2580.0,6 Speed IMT,FWD,5.0,Electric,"tubeless,radial",5.0,311.0,20.0,DOHC,Unknown,2.9990303199075825,Hyderabad,7.4
Third Party insurance,Petrol,1197 cc,2020.0,Petrol,Sedan,39886.0,Automatic,2,Hyundai,Hyundai Aura,15.0,White,4.0,Unknown,No,3995.0,1680.0,1520.0,2450.0,5-Speed,Unknown,5.0,Electric,"tubeless,radial",4.0,333.90535569372923,20.1,Unknown,Unknown,5.065098617288548,Hyderabad,7.66
Third Party insurance,Diesel,1461 cc,2014.0,Diesel,SUV,107588.0,Manual,1,Renault,Renault Duster,16.0,White,4.0,CRDI,Yes,4315.0,1822.0,1695.0,2673.0,5 speed,FWD,5.0,Power,"tubeless,radial",5.0,475.0,20.45,DOHC,No,5.2,Hyderabad,4.4
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Hatchback,36621.0,Manual,1,Hyundai,Hyundai Grand i10,15.0,Red,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Hyderabad,5.19
Third Party insurance,Diesel,1956 cc,2020.0,Diesel,SUV,80000.0,Manual,1,MG,MG Hector Plus,18.0,Others,4.0,Unknown,Yes,4720.0,1835.0,1760.0,2750.0,6-speed,Unknown,6.0,Unknown,"tubeless,radial",5.0,155.0,16.65,Unknown,Unknown,14.7050474116446,Hyderabad,16.0
Third Party insurance,Petrol,998 cc,2022.0,Petrol,Hatchback,18900.0,Manual,1,Maruti,Maruti S-Presso,14.0,Grey,3.0,Unknown,Unknown,3565.0,1520.0,1567.0,2380.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,223.8481396206207,24.76,Unknown,Unknown,4.5,Hyderabad,5.25
Zero Dep,Diesel,1493 cc,2019.0,Diesel,SUV,70754.0,Manual,1,Kia,Kia Seltos,16.0,White,4.0,CRDi,Yes,4315.0,1800.0,1645.0,2610.0,6-Speed,FWD,5.0,Electric,"tubeless,radial",5.0,433.0,20.8,DOHC,Unknown,8.614012373969004,Hyderabad,11.08
Third Party insurance,Petrol,998 cc,2020.0,Petrol,Hatchback,59832.0,Manual,1,Maruti,Maruti S-Presso,14.0,Grey,3.0,Unknown,Unknown,3565.0,1520.0,1567.0,2380.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,223.8481396206207,21.7,Unknown,Unknown,4.5,Hyderabad,4.2
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Sedan,60068.0,Manual,2,Maruti,Maruti Swift Dzire,16.0,Red,4.0,MPFI,No,3995.0,1735.0,1515.0,2450.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,378.0,21.21,DOHC,No,4.8,Hyderabad,6.05
Comprehensive,Petrol,796 cc,2018.0,Petrol,Hatchback,41261.0,Manual,1,Maruti,Maruti Alto 800,14.0,Silver,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Hyderabad,3.26
Third Party insurance,Petrol,1497 cc,2020.0,Petrol,SUV,32209.0,Manual,1,Ford,Ford Ecosport,16.0,White,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,352.0,17.0,DOHC,No,5.3,Hyderabad,9.5
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,75747.0,Manual,1,Honda,Honda Jazz,15.0,Brown,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.7,SOHC,No,5.1,Hyderabad,6.39
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Hatchback,49241.0,Manual,2,Hyundai,Hyundai i20,16.0,White,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,295.0,18.6,DOHC,No,5.2,Hyderabad,7.12
Third Party insurance,Diesel,2143 cc,2018.0,Diesel,SUV,100000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz GLE,19.0,Others,4.0,CRDi,Yes,4819.0,2141.0,1796.0,2915.0,9 Speed,AWD,5.0,Power,"radial,tubeless",5.0,690.0,17.9,DOHC,No,5.9,Hyderabad,30.0
Third Party insurance,Diesel,3198 cc,2016.0,Diesel,SUV,119422.0,Automatic,1,Ford,Ford Endeavour,18.0,White,5.0,TDCi,Yes,4892.0,1860.0,1837.0,2850.0,6 Speed,4WD,7.0,Power,"tubeless,radial",5.0,473.6525385098503,10.91,DOHC,No,17.5262883581589,Hyderabad,22.5
Third Party insurance,Petrol,1197 cc,2021.0,Petrol,Hatchback,33488.0,Manual,1,Maruti,Maruti Swift,16.0,Blue,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Hyderabad,6.7
Third Party insurance,Petrol,1997 cc,2021.0,Petrol,SUV,30000.0,Manual,1,Mahindra,Mahindra Thar,18.0,Others,4.0,Unknown,Yes,3985.0,1855.0,1844.0,2450.0,6 Speed,4WD,4.0,Power,"radial,tubeless",3.0,314.28121465619085,15.2,DOHC,Unknown,6.509814073037873,Hyderabad,16.5
Third Party insurance,Petrol,1199 cc,2022.0,Petrol,Hatchback,21000.0,Manual,1,Tata,Tata Altroz,16.0,White,3.0,Unknown,No,3990.0,1755.0,1523.0,2501.0,5-Speed,Unknown,5.0,Electric,"tubeless,radial",5.0,345.0,19.33,Unknown,Unknown,5.0,Hyderabad,8.75
Third Party insurance,Diesel,1956 cc,2018.0,Diesel,SUV,56545.0,Manual,1,Jeep,Jeep Compass,18.0,Grey,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,power,"radial,tubless",5.0,408.0,17.1,DOHC,No,9.17921373457304,Hyderabad,16.0
